peptide_id,sequence,ml_score,prediction
pep_00091,,0.437,Allergen
pep_00092,,0.368,Allergen
pep_00093,,0.371,Allergen
pep_00094,,0.31,Allergen
pep_00095,,0.284,Allergen
pep_00096,,0.285,Allergen
pep_00097,,0.458,Allergen
pep_00098,,0.296,Allergen
pep_00099,,0.316,Allergen
pep_00102,,0.393,Allergen
pep_00103,,0.396,Allergen
pep_00104,,0.398,Allergen
pep_00105,,0.425,Allergen
pep_00106,,0.355,Allergen
pep_00107,,0.407,Allergen
pep_00108,,0.3,Allergen
pep_00109,,0.367,Allergen
pep_00110,,0.304,Allergen
pep_00111,,0.344,Allergen
pep_00112,,0.494,Allergen
pep_00113,,0.447,Allergen
pep_00114,,0.345,Allergen
pep_00115,,0.35,Allergen
pep_00116,,0.385,Allergen
pep_00117,,0.376,Allergen
pep_00118,,0.422,Allergen
pep_00119,,0.387,Allergen
pep_00120,,0.362,Allergen
pep_00121,,0.382,Allergen
pep_00122,,0.383,Allergen
pep_00123,,0.338,Allergen
pep_00124,,0.284,Allergen
pep_00125,,0.314,Allergen
pep_00126,,0.274,Allergen
pep_00127,,0.427,Allergen
pep_00128,,0.43,Allergen
pep_00129,,0.273,Allergen
pep_00130,,0.28,Allergen
pep_00131,,0.347,Allergen
pep_00132,,0.34,Allergen
pep_00133,,pep_00134,
pep_00135,,pep_00136,
pep_00137,,pep_00138,
pep_00139,,pep_00140,
pep_00141,,pep_00142,
pep_00143,,pep_00144,
pep_00145,,pep_00146,
pep_00147,,pep_00148,
pep_00149,,pep_00150,
pep_00152,,0.458,Allergen
pep_00153,,0.48,Allergen
pep_00154,,0.427,Allergen
pep_00155,,0.425,Allergen
pep_00156,,0.602,Allergen
pep_00157,,0.702,Allergen
pep_00158,,0.391,Allergen
pep_00159,,0.415,Allergen
pep_00160,,0.532,Allergen
pep_00161,,0.554,Allergen
pep_00162,,0.515,Allergen
pep_00163,,0.499,Allergen
pep_00164,,0.547,Allergen
pep_00165,,0.532,Allergen
pep_00166,,0.522,Allergen
pep_00167,,0.413,Allergen
pep_00168,,0.434,Allergen
pep_00169,,0.43,Allergen
pep_00170,,0.391,Allergen
pep_00171,,0.702,Allergen
pep_00172,,0.559,Allergen
pep_00173,,0.393,Allergen
pep_00174,,0.426,Allergen
pep_00175,,0.51,Allergen
pep_00176,,0.51,Allergen
pep_00177,,0.358,Allergen
pep_00178,,0.358,Allergen
pep_00179,,0.343,Allergen
pep_00180,,0.36,Allergen
pep_00181,,0.385,Allergen
pep_00182,,0.358,Allergen
pep_00183,,0.316,Allergen
pep_00184,,0.32,Allergen
pep_00185,,0.28,Allergen
pep_00186,,0.309,Allergen
pep_00187,,0.415,Allergen
pep_00188,,0.426,Allergen
pep_00189,,0.304,Allergen
pep_00190,,0.357,Allergen
pep_00191,,0.336,Allergen
pep_00192,,0.338,Allergen
pep_00193,,0.559,Allergen
pep_00194,,0.46,Allergen
pep_00195,,0.43,Allergen
pep_00196,,0.495,Allergen
pep_00197,,0.534,Allergen
pep_00198,,0.448,Allergen
pep_00199,,0.367,Allergen
pep_00202,,0.37,Allergen
pep_00203,,0.532,Allergen
pep_00204,,0.51,Allergen
pep_00205,,0.343,Allergen
pep_00206,,0.336,Allergen
pep_00207,,0.48,Allergen
pep_00208,,0.456,Allergen
pep_00209,,0.506,Allergen
pep_00210,,0.437,Allergen
pep_00211,,0.421,Allergen
pep_00212,,0.46,Allergen
pep_00213,,0.449,Allergen
pep_00214,,0.34,Allergen
pep_00215,,0.399,Allergen
pep_00216,,0.364,Allergen
pep_00217,,0.554,Allergen
pep_00218,,0.51,Allergen
pep_00219,,0.34,Allergen
pep_00220,,0.338,Allergen
pep_00221,,0.456,Allergen
pep_00222,,0.46,Allergen
pep_00223,,0.565,Allergen
pep_00224,,0.606,Allergen
pep_00225,,0.518,Allergen
pep_00226,,0.43,Allergen
pep_00227,,0.498,Allergen
pep_00228,,0.422,Allergen
pep_00229,,0.609,Allergen
pep_00230,,0.515,Allergen
pep_00231,,0.337,Allergen
pep_00232,,0.358,Allergen
pep_00233,,0.559,Allergen
pep_00234,,0.588,Allergen
pep_00235,,0.382,Allergen
pep_00236,,0.504,Allergen
pep_00237,,0.485,Allergen
pep_00238,,0.478,Allergen
pep_00239,,0.539,Allergen
pep_00240,,0.369,Allergen
pep_00241,,0.492,Allergen
pep_00242,,0.469,Allergen
pep_00243,,0.606,Allergen
pep_00244,,0.606,Allergen
pep_00245,,0.557,Allergen
pep_00246,,0.572,Allergen
pep_00247,,0.459,Allergen
pep_00248,,0.457,Allergen
pep_00249,,0.389,Allergen
pep_00252,,0.504,Allergen
pep_00253,,0.574,Allergen
pep_00254,,0.469,Allergen
pep_00255,,0.413,Allergen
pep_00256,,0.471,Allergen
pep_00257,,0.351,Allergen
pep_00258,,0.486,Allergen
pep_00259,,0.518,Allergen
pep_00260,,0.485,Allergen
pep_00261,,0.557,Allergen
pep_00262,,0.475,Allergen
pep_00263,,0.479,Allergen
pep_00264,,0.43,Allergen
pep_00265,,0.414,Allergen
pep_00266,,0.397,Allergen
pep_00267,,0.441,Allergen
pep_00268,,0.394,Allergen
pep_00269,,0.476,Allergen
pep_00270,,0.413,Allergen
pep_00271,,0.404,Allergen
pep_00272,,0.358,Allergen
pep_00273,,0.294,Allergen
pep_00274,,0.301,Allergen
pep_00275,,0.381,Allergen
pep_00276,,0.457,Allergen
pep_00277,,0.427,Allergen
pep_00278,,0.392,Allergen
pep_00279,,0.343,Allergen
pep_00280,,0.676,Allergen
pep_00281,,0.537,Allergen
pep_00282,,0.545,Allergen
pep_00283,,0.59,Allergen
pep_00284,,0.365,Allergen
pep_00285,,0.378,Allergen
pep_00286,,0.532,Allergen
pep_00287,,0.479,Allergen
pep_00288,,0.409,Allergen
pep_00289,,0.465,Allergen
pep_00290,,0.365,Allergen
pep_00291,,0.419,Allergen
pep_00292,,0.346,Allergen
pep_00293,,0.353,Allergen
pep_00294,,0.378,Allergen
pep_00295,,0.374,Allergen
pep_00296,,0.291,Allergen
pep_00297,,0.358,Allergen
pep_00298,,0.508,Allergen
pep_00299,,0.441,Allergen
pep_00302,,0.59,Allergen
pep_00303,,0.506,Allergen
pep_00304,,0.469,Allergen
pep_00305,,0.464,Allergen
pep_00306,,0.554,Allergen
pep_00307,,0.487,Allergen
pep_00308,,0.324,Allergen
pep_00309,,0.513,Allergen
pep_00310,,0.519,Allergen
pep_00311,,0.511,Allergen
pep_00312,,0.526,Allergen
pep_00313,,0.463,Allergen
pep_00314,,0.436,Allergen
pep_00315,,0.425,Allergen
pep_00316,,0.489,Allergen
pep_00317,,0.433,Allergen
pep_00318,,0.526,Allergen
pep_00319,,0.5,Allergen
pep_00320,,0.558,Allergen
pep_00321,,0.487,Allergen
pep_00322,,0.408,Allergen
pep_00323,,0.46,Allergen
pep_00324,,0.406,Allergen
pep_00325,,0.488,Allergen
pep_00326,,0.318,Allergen
pep_00327,,0.297,Allergen
pep_00328,,0.349,Allergen
pep_00329,,0.41,Allergen
pep_00330,,0.44,Allergen
pep_00331,,0.387,Allergen
pep_00332,,0.477,Allergen
pep_00333,,0.559,Allergen
pep_00334,,0.433,Allergen
pep_00335,,0.428,Allergen
pep_00336,,0.413,Allergen
pep_00337,,0.379,Allergen
pep_00338,,0.344,Allergen
pep_00339,,0.407,Allergen
pep_00340,,0.327,Allergen
pep_00341,,0.327,Allergen
pep_00342,,0.525,Allergen
pep_00343,,0.559,Allergen
pep_00344,,0.478,Allergen
pep_00345,,0.339,Allergen
pep_00346,,0.488,Allergen
pep_00347,,0.466,Allergen
pep_00348,,0.399,Allergen
pep_00349,,0.362,Allergen
pep_00352,,0.461,Allergen
pep_00353,,0.397,Allergen
pep_00354,,0.354,Allergen
pep_00355,,0.504,Allergen
pep_00356,,0.445,Allergen
pep_00357,,0.441,Allergen
pep_00358,,0.353,Allergen
pep_00359,,0.363,Allergen
pep_00360,,0.332,Allergen
pep_00361,,0.35,Allergen
pep_00362,,0.471,Allergen
pep_00363,,0.395,Allergen
pep_00364,,0.414,Allergen
pep_00365,,0.413,Allergen
pep_00366,,0.317,Allergen
pep_00367,,0.272,Allergen
pep_00368,,0.379,Allergen
pep_00369,,0.316,Allergen
pep_00370,,0.326,Allergen
pep_00371,,0.295,Allergen
pep_00372,,0.411,Allergen
pep_00373,,0.345,Allergen
pep_00374,,0.363,Allergen
pep_00375,,0.289,Allergen
pep_00376,,0.539,Allergen
pep_00377,,0.508,Allergen
pep_00378,,0.501,Allergen
pep_00379,,0.417,Allergen
pep_00380,,0.382,Allergen
pep_00381,,0.366,Allergen
pep_00382,,0.359,Allergen
pep_00383,,0.452,Allergen
pep_00384,,0.47,Allergen
pep_00385,,0.482,Allergen
pep_00386,,0.403,Allergen
pep_00387,,0.368,Allergen
pep_00388,,0.446,Allergen
pep_00389,,0.455,Allergen
pep_00390,,0.369,Allergen
pep_00391,,0.35,Allergen
pep_00392,,0.316,Allergen
pep_00393,,0.321,Allergen
pep_00394,,0.307,Allergen
pep_00395,,0.323,Allergen
pep_00396,,0.338,Allergen
pep_00397,,0.332,Allergen
pep_00398,,0.396,Allergen
pep_00399,,0.388,Allergen
pep_00402,,0.559,Allergen
pep_00403,,0.606,Allergen
pep_00404,,0.572,Allergen
pep_00405,,0.457,Allergen
pep_00406,,0.389,Allergen
pep_00407,,0.386,Allergen
pep_00408,,0.542,Allergen
pep_00409,,0.489,Allergen
pep_00410,,0.433,Allergen
pep_00411,,0.441,Allergen
pep_00412,,0.433,Allergen
pep_00413,,0.397,Allergen
pep_00414,,0.345,Allergen
pep_00415,,0.501,Allergen
pep_00416,,0.354,Allergen
pep_00417,,0.518,Allergen
pep_00418,,0.498,Allergen
pep_00419,,0.368,Allergen
pep_00420,,0.375,Allergen
pep_00421,,0.547,Allergen
pep_00422,,0.366,Allergen
pep_00423,,0.36,Allergen
pep_00424,,0.495,Allergen
pep_00425,,0.441,Allergen
pep_00426,,0.498,Allergen
pep_00427,,0.498,Allergen
pep_00428,,0.381,Allergen
pep_00429,,0.388,Allergen
pep_00430,,0.403,Allergen
pep_00431,,0.351,Allergen
pep_00432,,0.444,Allergen
pep_00433,,0.355,Allergen
pep_00434,,0.452,Allergen
pep_00435,,0.368,Allergen
pep_00436,,0.433,Allergen
pep_00437,,0.365,Allergen
pep_00438,,0.307,Allergen
pep_00439,,0.294,Allergen
pep_00440,,0.449,Allergen
pep_00441,,0.31,Allergen
pep_00442,,0.323,Allergen
pep_00443,,0.382,Allergen
pep_00444,,0.325,Allergen
pep_00445,,0.322,Allergen
pep_00446,,0.375,Allergen
pep_00447,,0.403,Allergen
pep_00448,,0.284,Allergen
pep_00449,,0.309,Allergen
pep_00452,,0.344,Allergen
pep_00453,,0.676,Allergen
pep_00454,,0.54,Allergen
pep_00455,,0.56,Allergen
pep_00456,,0.491,Allergen
pep_00457,,0.424,Allergen
pep_00458,,0.608,Allergen
pep_00459,,0.398,Allergen
pep_00460,,0.415,Allergen
pep_00461,,0.556,Allergen
pep_00462,,0.562,Allergen
pep_00463,,0.547,Allergen
pep_00464,,0.507,Allergen
pep_00465,,0.509,Allergen
pep_00466,,0.43,Allergen
pep_00467,,0.428,Allergen
pep_00468,,0.547,Allergen
pep_00469,,0.431,Allergen
pep_00470,,0.386,Allergen
pep_00471,,0.331,Allergen
pep_00472,,0.415,Allergen
pep_00473,,0.32,Allergen
pep_00474,,0.347,Allergen
pep_00475,,0.604,Allergen
pep_00476,,0.37,Allergen
pep_00477,,0.542,Allergen
pep_00478,,0.411,Allergen
pep_00479,,0.444,Allergen
pep_00480,,0.4,Allergen
pep_00481,,0.343,Allergen
pep_00482,,0.562,Allergen
pep_00483,,0.345,Allergen
pep_00484,,0.331,Allergen
pep_00485,,0.46,Allergen
pep_00486,,0.574,Allergen
pep_00487,,0.469,Allergen
pep_00488,,0.413,Allergen
pep_00489,,0.471,Allergen
pep_00490,,0.351,Allergen
pep_00491,,0.623,Allergen
pep_00492,,0.487,Allergen
pep_00493,,0.408,Allergen
pep_00494,,0.504,Allergen
pep_00495,,0.441,Allergen
pep_00496,,0.39,Allergen
pep_00497,,0.413,Allergen
pep_00498,,0.353,Allergen
pep_00499,,0.45,Allergen
pep_00502,,0.557,Allergen
pep_00503,,0.441,Allergen
pep_00504,,0.498,Allergen
pep_00505,,0.433,Allergen
pep_00506,,0.381,Allergen
pep_00507,,0.403,Allergen
pep_00508,,0.351,Allergen
pep_00509,,0.503,Allergen
pep_00510,,0.444,Allergen
pep_00511,,0.574,Allergen
pep_00512,,0.51,Allergen
pep_00513,,0.437,Allergen
pep_00514,,0.399,Allergen
pep_00515,,0.419,Allergen
pep_00516,,0.361,Allergen
pep_00517,,0.385,Allergen
pep_00518,,0.534,Allergen
pep_00519,,0.449,Allergen
pep_00520,,0.442,Allergen
pep_00521,,0.465,Allergen
pep_00522,,0.348,Allergen
pep_00523,,0.474,Allergen
pep_00524,,0.408,Allergen
pep_00525,,0.493,Allergen
pep_00526,,0.353,Allergen
pep_00527,,0.383,Allergen
pep_00528,,0.35,Allergen
pep_00529,,0.388,Allergen
pep_00530,,0.303,Allergen
pep_00531,,0.39,Allergen
pep_00532,,0.307,Allergen
pep_00533,,0.356,Allergen
pep_00534,,0.471,Allergen
pep_00535,,0.342,Allergen
pep_00536,,0.419,Allergen
pep_00537,,0.361,Allergen
pep_00538,,0.34,Allergen
pep_00539,,0.537,Allergen
pep_00540,,0.54,Allergen
pep_00541,,0.465,Allergen
pep_00542,,0.419,Allergen
pep_00543,,0.381,Allergen
pep_00544,,0.424,Allergen
pep_00545,,0.532,Allergen
pep_00546,,0.428,Allergen
pep_00547,,0.495,Allergen
pep_00548,,0.454,Allergen
pep_00549,,0.35,Allergen
pep_00552,,0.307,Allergen
pep_00553,,0.34,Allergen
pep_00554,,0.424,Allergen
pep_00555,,0.322,Allergen
pep_00556,,0.385,Allergen
pep_00557,,0.387,Allergen
pep_00558,,0.456,Allergen
pep_00559,,0.462,Allergen
pep_00560,,0.406,Allergen
pep_00561,,0.513,Allergen
pep_00562,,0.379,Allergen
pep_00563,,0.387,Allergen
pep_00564,,0.534,Allergen
pep_00565,,0.484,Allergen
pep_00566,,0.486,Allergen
pep_00567,,0.374,Allergen
pep_00568,,0.356,Allergen
pep_00569,,0.353,Allergen
pep_00570,,0.484,Allergen
pep_00571,,0.449,Allergen
pep_00572,,0.481,Allergen
pep_00573,,0.518,Allergen
pep_00574,,0.475,Allergen
pep_00575,,0.329,Allergen
pep_00576,,0.348,Allergen
pep_00577,,0.463,Allergen
pep_00578,,0.318,Allergen
pep_00579,,0.433,Allergen
pep_00580,,0.39,Allergen
pep_00581,,0.395,Allergen
pep_00582,,0.471,Allergen
pep_00583,,0.324,Allergen
pep_00584,,0.48,Allergen
pep_00585,,0.56,Allergen
pep_00586,,0.355,Allergen
pep_00587,,0.39,Allergen
pep_00588,,0.445,Allergen
pep_00589,,0.408,Allergen
pep_00590,,0.349,Allergen
pep_00591,,0.399,Allergen
pep_00592,,0.465,Allergen
pep_00593,,0.348,Allergen
pep_00594,,0.33,Allergen
pep_00595,,0.448,Allergen
pep_00596,,0.323,Allergen
pep_00597,,0.449,Allergen
pep_00598,,0.315,Allergen
pep_00599,,0.25,Allergen
pep_00602,,0.475,Allergen
pep_00603,,0.647,Allergen
pep_00604,,0.368,Allergen
pep_00605,,0.409,Allergen
pep_00606,,0.479,Allergen
pep_00607,,0.403,Allergen
pep_00608,,0.42,Allergen
pep_00609,,0.39,Allergen
pep_00610,,0.388,Allergen
pep_00611,,0.421,Allergen
pep_00612,,0.321,Allergen
pep_00613,,0.409,Allergen
pep_00614,,0.298,Allergen
pep_00615,,0.34,Allergen
pep_00616,,0.448,Allergen
pep_00617,,0.34,Allergen
pep_00618,,0.383,Allergen
pep_00619,,0.33,Allergen
pep_00620,,0.43,Allergen
pep_00621,,0.414,Allergen
pep_00622,,0.474,Allergen
pep_00623,,0.487,Allergen
pep_00624,,0.409,Allergen
pep_00625,,0.441,Allergen
pep_00626,,0.366,Allergen
pep_00627,,0.333,Allergen
pep_00628,,0.305,Allergen
pep_00629,,0.297,Allergen
pep_00630,,0.336,Allergen
pep_00631,,0.317,Allergen
pep_00632,,0.406,Allergen
pep_00633,,0.307,Allergen
pep_00634,,0.399,Allergen
pep_00635,,0.31,Allergen
pep_00636,,0.34,Allergen
pep_00637,,0.413,Allergen
pep_00638,,0.437,Allergen
pep_00639,,0.408,Allergen
pep_00640,,0.437,Allergen
pep_00641,,0.493,Allergen
pep_00642,,0.353,Allergen
pep_00643,,0.383,Allergen
pep_00644,,0.449,Allergen
pep_00645,,0.368,Allergen
pep_00646,,0.31,Allergen
pep_00647,,0.247,Allergen
pep_00648,,0.349,Allergen
pep_00649,,0.272,Allergen
pep_00652,,0.278,Allergen
pep_00653,,0.297,Allergen
pep_00654,,0.273,Allergen
pep_00655,,0.487,Allergen
pep_00656,,0.449,Allergen
pep_00657,,0.458,Allergen
pep_00658,,0.376,Allergen
pep_00659,,0.373,Allergen
pep_00660,,0.391,Allergen
pep_00661,,0.424,Allergen
pep_00662,,0.409,Allergen
pep_00663,,0.365,Allergen
pep_00664,,0.327,Allergen
pep_00665,,0.316,Allergen
pep_00666,,0.293,Allergen
pep_00667,,0.279,Allergen
pep_00668,,0.365,Allergen
pep_00669,,0.29,Allergen
pep_00670,,0.316,Allergen
pep_00671,,0.441,Allergen
pep_00672,,0.366,Allergen
pep_00673,,0.367,Allergen
pep_00674,,0.317,Allergen
pep_00675,,0.297,Allergen
pep_00676,,0.317,Allergen
pep_00677,,0.307,Allergen
pep_00678,,0.394,Allergen
pep_00679,,0.304,Allergen
pep_00680,,0.424,Allergen
pep_00681,,0.308,Allergen
pep_00682,,0.301,Allergen
pep_00683,,0.393,Allergen
pep_00684,,0.426,Allergen
pep_00685,,0.405,Allergen
pep_00686,,0.449,Allergen
pep_00687,,0.386,Allergen
pep_00688,,0.314,Allergen
pep_00689,,0.399,Allergen
pep_00690,,0.311,Allergen
pep_00691,,0.344,Allergen
pep_00692,,0.448,Allergen
pep_00693,,0.399,Allergen
pep_00694,,0.327,Allergen
pep_00695,,0.328,Allergen
pep_00696,,0.387,Allergen
pep_00697,,0.373,Allergen
pep_00698,,0.426,Allergen
pep_00699,,0.393,Allergen
pep_00702,,0.391,Allergen
pep_00703,,0.32,Allergen
pep_00704,,0.367,Allergen
pep_00705,,0.388,Allergen
pep_00706,,0.377,Allergen
pep_00707,,0.373,Allergen
pep_00708,,0.405,Allergen
pep_00709,,0.398,Allergen
pep_00710,,0.418,Allergen
pep_00711,,0.348,Allergen
pep_00712,,0.395,Allergen
pep_00713,,0.314,Allergen
pep_00714,,0.378,Allergen
pep_00715,,0.349,Allergen
pep_00716,,0.45,Allergen
pep_00717,,0.426,Allergen
pep_00718,,0.332,Allergen
pep_00719,,0.357,Allergen
pep_00720,,0.379,Allergen
pep_00721,,0.372,Allergen
pep_00722,,0.449,Allergen
pep_00723,,0.412,Allergen
pep_00724,,0.418,Allergen
pep_00725,,0.425,Allergen
pep_00726,,0.37,Allergen
pep_00727,,0.421,Allergen
pep_00728,,0.32,Allergen
pep_00729,,0.375,Allergen
pep_00730,,0.337,Allergen
pep_00731,,0.371,Allergen
pep_00732,,0.488,Allergen
pep_00733,,0.465,Allergen
pep_00734,,0.401,Allergen
pep_00735,,0.355,Allergen
pep_00736,,0.396,Allergen
pep_00737,,0.376,Allergen
pep_00738,,0.386,Allergen
pep_00739,,0.348,Allergen
pep_00740,,0.37,Allergen
pep_00741,,0.355,Allergen
pep_00742,,0.362,Allergen
pep_00743,,0.287,Allergen
pep_00744,,0.329,Allergen
pep_00745,,0.283,Allergen
pep_00746,,0.323,Allergen
pep_00747,,0.391,Allergen
pep_00748,,0.42,Allergen
pep_00749,,0.34,Allergen
pep_00752,,0.321,Allergen
pep_00753,,0.414,Allergen
pep_00754,,0.421,Allergen
pep_00755,,0.362,Allergen
pep_00756,,0.407,Allergen
pep_00757,,0.31,Allergen
pep_00758,,0.385,Allergen
pep_00759,,0.344,Allergen
pep_00760,,0.486,Allergen
pep_00761,,0.447,Allergen
pep_00762,,0.335,Allergen
pep_00763,,0.358,Allergen
pep_00764,,0.388,Allergen
pep_00765,,0.376,Allergen
pep_00766,,0.314,Allergen
pep_00767,,0.32,Allergen
pep_00768,,0.314,Allergen
pep_00769,,0.287,Allergen
pep_00770,,0.3,Allergen
pep_00771,,0.273,Allergen
pep_00772,,0.26,Allergen
pep_00773,,0.401,Allergen
pep_00774,,0.339,Allergen
pep_00775,,0.3,Allergen
pep_00776,,0.287,Allergen
pep_00777,,0.302,Allergen
pep_00778,,0.29,Allergen
pep_00779,,0.311,Allergen
pep_00780,,0.32,Allergen
pep_00781,,0.337,Allergen
pep_00782,,0.283,Allergen
pep_00783,,0.321,Allergen
pep_00784,,0.275,Allergen
pep_00785,,0.304,Allergen
pep_00786,,0.387,Allergen
pep_00787,,0.374,Allergen
pep_00788,,0.272,Allergen
pep_00789,,0.284,Allergen
pep_00790,,0.344,Allergen
pep_00791,,0.38,Allergen
pep_00792,,0.349,Allergen
pep_00793,,0.371,Allergen
pep_00794,,0.323,Allergen
pep_00795,,0.344,Allergen
pep_00796,,0.26,Allergen
pep_00797,,0.306,Allergen
pep_00798,,0.344,Allergen
pep_00799,,0.401,Allergen
pep_00802,,0.326,Allergen
pep_00803,,0.354,Allergen
pep_00804,,0.448,Allergen
pep_00805,,0.474,Allergen
pep_00806,,0.45,Allergen
pep_00807,,0.488,Allergen
pep_00808,,0.391,Allergen
pep_00809,,0.486,Allergen
pep_00810,,0.401,Allergen
pep_00811,,0.44,Allergen
pep_00812,,0.401,Allergen
pep_00813,,0.494,Allergen
pep_00814,,0.575,Allergen
pep_00815,,0.383,Allergen
pep_00816,,0.424,Allergen
pep_00817,,0.44,Allergen
pep_00818,,0.483,Allergen
pep_00819,,0.399,Allergen
pep_00820,,0.442,Allergen
pep_00821,,0.426,Allergen
pep_00822,,0.465,Allergen
pep_00823,,0.42,Allergen
pep_00824,,0.447,Allergen
pep_00825,,0.365,Allergen
pep_00826,,0.355,Allergen
pep_00827,,0.575,Allergen
pep_00828,,0.447,Allergen
pep_00829,,0.387,Allergen
pep_00830,,0.403,Allergen
pep_00831,,0.427,Allergen
pep_00832,,0.328,Allergen
pep_00833,,0.372,Allergen
pep_00834,,0.357,Allergen
pep_00835,,0.355,Allergen
pep_00836,,0.338,Allergen
pep_00837,,0.358,Allergen
pep_00838,,0.287,Allergen
pep_00839,,0.33,Allergen
pep_00840,,0.279,Allergen
pep_00841,,0.326,Allergen
pep_00842,,0.424,Allergen
pep_00843,,0.403,Allergen
pep_00844,,0.34,Allergen
pep_00845,,0.35,Allergen
pep_00846,,0.333,Allergen
pep_00847,,0.331,Allergen
pep_00848,,0.387,Allergen
pep_00849,,0.379,Allergen
pep_00852,,0.302,Allergen
pep_00853,,0.365,Allergen
pep_00854,,0.354,Allergen
pep_00855,,0.44,Allergen
pep_00856,,0.343,Allergen
pep_00857,,0.333,Allergen
pep_00858,,0.374,Allergen
pep_00859,,0.373,Allergen
pep_00860,,0.373,Allergen
pep_00861,,0.372,Allergen
pep_00862,,0.376,Allergen
pep_00863,,0.321,Allergen
pep_00864,,0.362,Allergen
pep_00865,,0.284,Allergen
pep_00866,,0.335,Allergen
pep_00867,,0.483,Allergen
pep_00868,,0.427,Allergen
pep_00869,,0.334,Allergen
pep_00870,,0.331,Allergen
pep_00871,,0.374,Allergen
pep_00872,,0.376,Allergen
pep_00873,,0.422,Allergen
pep_00874,,0.413,Allergen
pep_00875,,0.336,Allergen
pep_00876,,0.404,Allergen
pep_00877,,0.358,Allergen
pep_00878,,0.447,Allergen
pep_00879,,0.294,Allergen
pep_00880,,0.386,Allergen
pep_00881,,0.413,Allergen
pep_00882,,0.326,Allergen
pep_00883,,0.382,Allergen
pep_00884,,0.387,Allergen
pep_00885,,0.295,Allergen
pep_00886,,0.388,Allergen
pep_00887,,0.338,Allergen
pep_00888,,0.325,Allergen
pep_00889,,0.428,Allergen
pep_00890,,0.322,Allergen
pep_00891,,0.295,Allergen
pep_00892,,0.372,Allergen
pep_00893,,0.413,Allergen
pep_00894,,0.45,Allergen
pep_00895,,0.383,Allergen
pep_00896,,0.329,Allergen
pep_00897,,0.412,Allergen
pep_00898,,0.316,Allergen
pep_00899,,0.307,Allergen
pep_00902,,0.391,Allergen
pep_00903,,0.25,Allergen
pep_00904,,0.29,Allergen
pep_00905,,0.247,Allergen
pep_00906,,0.232,Allergen
pep_00907,,0.291,Allergen
pep_00908,,0.382,Allergen
pep_00909,,0.314,Allergen
pep_00910,,0.274,Allergen
pep_00911,,0.427,Allergen
pep_00912,,0.273,Allergen
pep_00913,,0.269,Allergen
pep_00914,,0.316,Allergen
pep_00915,,0.305,Allergen
pep_00916,,0.522,Allergen
pep_00917,,0.316,Allergen
pep_00918,,0.338,Allergen
